date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:04:33	60305/60305	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2009:04:32%20GMT	http://www.mariage.org/la-preparation-au-mariage/babamariage3.html	D:/A740550/Documents/OneDrive%20-%20Atos/perso/fiancailles.org/fiancailles.org/www.mariage.org/la-preparation-au-mariage/babamariage3.html	(from http://www.mariage.org/la-preparation-au-mariage/le-mariage-religieux.html)
10:04:53	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2015%20Feb%202021%2009:04:53%20GMT	http://www.celibat.org/9yp	D:/A740550/Documents/OneDrive%20-%20Atos/perso/fiancailles.org/fiancailles.org/www.celibat.org/9yp.1a9.delayed	(from http://www.mariage.org/la-preparation-au-mariage/quel-est-le-role-dun-temoin-de-mariage.html)
10:04:54	43947/43947	---MCZ	403	error ('Forbidden')	text/html	date:Mon,%2015%20Feb%202021%2009:04:53%20GMT	http://www.celibat.org/la-preparation-au-mariage/quel-est-le-role-dun-temoin-de-mariage.html	D:/A740550/Documents/OneDrive%20-%20Atos/perso/fiancailles.org/fiancailles.org/www.celibat.org/la-preparation-au-mariage/quel-est-le-role-dun-temoin-de-mariage.html	(from http://www.mariage.org/la-preparation-au-mariage/quel-est-le-role-dun-temoin-de-mariage.html)
10:04:55	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2015%20Feb%202021%2009:04:54%20GMT	http://www.celibat.org/9f8	D:/A740550/Documents/OneDrive%20-%20Atos/perso/fiancailles.org/fiancailles.org/www.celibat.org/9f8	(from http://www.mariage.org/la-preparation-au-mariage/reflexions-sur-le-mariage-chretien.html)
10:04:55	54763/54763	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2009:04:54%20GMT	http://www.mariage.org/la-preparation-au-mariage/pourquoi-se-marier-civilement.html	D:/A740550/Documents/OneDrive%20-%20Atos/perso/fiancailles.org/fiancailles.org/www.mariage.org/la-preparation-au-mariage/pourquoi-se-marier-civilement.html	(from http://www.mariage.org/la-preparation-au-mariage/quel-est-le-role-dun-temoin-de-mariage.html)
10:04:55	50440/50440	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2009:04:54%20GMT	http://www.mariage.org/la-preparation-au-mariage/quelques-chiffres.html	D:/A740550/Documents/OneDrive%20-%20Atos/perso/fiancailles.org/fiancailles.org/www.mariage.org/la-preparation-au-mariage/quelques-chiffres.html	(from http://www.mariage.org/la-preparation-au-mariage/quel-est-le-role-dun-temoin-de-mariage.html)
10:04:56	43895/43895	---MCZ	403	error ('Forbidden')	text/html	date:Mon,%2015%20Feb%202021%2009:04:55%20GMT	http://www.celibat.org/la-preparation-au-mariage/reflexions-sur-le-mariage-chretien.html	D:/A740550/Documents/OneDrive%20-%20Atos/perso/fiancailles.org/fiancailles.org/www.celibat.org/la-preparation-au-mariage/reflexions-sur-le-mariage-chretien.html	(from http://www.mariage.org/la-preparation-au-mariage/reflexions-sur-le-mariage-chretien.html)
10:04:57	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2015%20Feb%202021%2009:04:56%20GMT	http://www.mariage.org/index.php/se-preparer-au-mariage/240-la-celebration-du-mariage-chretien-action-de-graces-pour-les-dons-recus-	D:/A740550/Documents/OneDrive%20-%20Atos/perso/fiancailles.org/fiancailles.org/www.mariage.org/index.php/se-preparer-au-mariage/240-la-celebration-du-mariage-chretien-action-de-graces-pour-les-dons-recus-	(from http://www.mariage.org/la-preparation-au-mariage/reflexions-sur-le-mariage-chretien.html)
10:04:57	44016/44016	---MCZ	403	error ('Forbidden')	text/html	date:Mon,%2015%20Feb%202021%2009:04:57%20GMT	http://www.celibat.org/la-preparation-au-mariage/la-celebration-du-mariage-chretien-action-de-graces-pour-les-dons-recus.html	D:/A740550/Documents/OneDrive%20-%20Atos/perso/fiancailles.org/fiancailles.org/www.celibat.org/la-preparation-au-mariage/la-celebration-du-mariage-chretien-action-de-graces-pour-les-dons-recus.html	(from http://www.mariage.org/la-preparation-au-mariage/reflexions-sur-le-mariage-chretien.html)
10:04:58	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2015%20Feb%202021%2009:04:57%20GMT	http://www.mariage.org/index.php/se-preparer-au-mariage/245-le-mariage-a-leglise--une-quadruple-alliance	D:/A740550/Documents/OneDrive%20-%20Atos/perso/fiancailles.org/fiancailles.org/www.mariage.org/index.php/se-preparer-au-mariage/245-le-mariage-a-leglise--une-quadruple-alliance	(from http://www.mariage.org/la-preparation-au-mariage/reflexions-sur-le-mariage-chretien.html)
10:04:58	43978/43978	---MCZ	403	error ('Forbidden')	text/html	date:Mon,%2015%20Feb%202021%2009:04:58%20GMT	http://www.celibat.org/la-preparation-au-mariage/le-mariage-a-leglise-une-quadruple-alliance.html	D:/A740550/Documents/OneDrive%20-%20Atos/perso/fiancailles.org/fiancailles.org/www.celibat.org/la-preparation-au-mariage/le-mariage-a-leglise-une-quadruple-alliance.html	(from http://www.mariage.org/la-preparation-au-mariage/reflexions-sur-le-mariage-chretien.html)
10:04:59	77/77	---M-Z	403	error ('FORBIDDEN')	text/html	date:Mon,%2015%20Feb%202021%2009:04:59%20GMT	http://www.mariage.org/la-preparation-de-votre-mariage/la-bible-dans-le-couple-et-dans-la-preparation-au-mariage-de-e-et-cbelluteau-salvator.html	D:/A740550/Documents/OneDrive%20-%20Atos/perso/fiancailles.org/fiancailles.org/www.mariage.org/la-preparation-de-votre-mariage/la-bible-dans-le-couple-et-dans-la-preparation-au-mariage-de-e-et-cbelluteau-salvator.html	(from http://www.mariage.org/la-preparation-au-mariage/reflexions-sur-le-mariage-chretien.html)
10:04:59	77/77	---M-Z	403	error ('FORBIDDEN')	text/html	date:Mon,%2015%20Feb%202021%2009:04:59%20GMT	http://www.mariage.org/la-preparation-au-mariage/maturier-mariage.html	D:/A740550/Documents/OneDrive%20-%20Atos/perso/fiancailles.org/fiancailles.org/www.mariage.org/la-preparation-au-mariage/maturier-mariage.html	(from http://www.mariage.org/la-preparation-au-mariage/reflexions-sur-le-mariage-chretien.html)
10:04:59	77/77	---M-Z	403	error ('FORBIDDEN')	text/html	date:Mon,%2015%20Feb%202021%2009:04:59%20GMT	http://www.mariage.org/la-preparation-au-mariage/se-marier-et-durer-pere-pierre-marie-castaignos-ed-salvator.html	D:/A740550/Documents/OneDrive%20-%20Atos/perso/fiancailles.org/fiancailles.org/www.mariage.org/la-preparation-au-mariage/se-marier-et-durer-pere-pierre-marie-castaignos-ed-salvator.html	(from http://www.mariage.org/la-preparation-au-mariage/reflexions-sur-le-mariage-chretien.html)
